State or Territory,Number with Current Asthma,Percent with Current Asthma
Alabama,353847,9.5
Alaska,44865,8.1
Arizona,484115,9.6
Arkansas,197478,8.8
California,2279568,7.8
Colorado,342994,8.4
Connecticut,257311,9.2
Delaware,63855,8.8
District of Columbia,62346,11.5
Florida,1268162,8
Georgia,626931,8.3
Hawaii,102093,9.2
Idaho,103201,8.6
Illinois,898521,9.1
Indiana,532909,10.7
Iowa,201266,8.5
Kansas,189350,8.7
Kentucky,402690,11.9
Louisiana,270261,7.7
Maine,122881,11.6
Maryland,393571,8.5
Massachusetts,636176,12
Michigan,831656,10.9
Minnesota,350818,8.4
Mississippi,166117,7.4
Missouri,450530,9.7
Montana,76683,9.6
Nebraska,108805,7.7
Nevada,172343,8.1
New Hampshire,107371,10.2
New Jersey,570238,8.3
New Mexico,154861,9.9
New York,1642598,10.7
North Carolina,592279,7.8
North Dakota,50533,8.7
Ohio,957711,10.8
Oklahoma,284303,9.7
Oregon,314501,10.2
Pennsylvania,979527,9.8
Rhode Island,89462,10.8
South Carolina,309409,8.3
South Dakota,48213,7.5
Tennessee,448189,8.9
Texas,1312573,6.7
Utah,178514,8.7
Vermont,56644,11.3
Virginia,556765,8.6
Washington,500993,9.3
West Virginia,161534,11
Wisconsin,456134,10.3
Wyoming,37351,8.3
Guam,5972,5.6
Puerto Rico,298155,10.6
